row,col,fitted_celltype,Dataset,PCA1,PCA2,UMAP1,UMAP2,UMAP1_cluster,domain_cluster,Tumor_label
real_30,277.9437,65.89117,Invasive_Tumor,Xenium Reference,-2.650775941432,-3.67119085152675,6.31604121887656,2.7888279095478,3,Domain 1,Tumor
real_31,276.3851,67.34083,Invasive_Tumor,Xenium Reference,-0.963479877824509,-3.66460913311389,6.25539563858481,1.95873881729316,3,Domain 1,Tumor
real_32,274.8921,67.38701,Stromal,Xenium Reference,0.888325424221689,-3.16075262508085,5.69729398453208,-12.958675847929,6,Domain 2,Stromal
real_33,278.655,67.78516,Invasive_Tumor,Xenium Reference,-2.13682456591515,-3.21269052066271,6.28957675659628,2.37988926323127,3,Domain 1,Tumor
real_34,278.2423,69.75757,Invasive_Tumor,Xenium Reference,-0.574496020098677,-2.78108651527448,6.19908975326987,2.02695490272712,3,Domain 1,Tumor
real_35,277.0686,70.37091,Invasive_Tumor,Xenium Reference,1.1026520750514,-2.75799608757329,6.77218316757651,-0.995916680973062,3,Domain 1,Tumor
real_36,274.9776,71.44502,Endothelial,Xenium Reference,5.37535132922017,-1.8191583696504,8.11733506882163,-20.5844883784466,7,Domain 3,Tumor
real_37,277.2468,73.43897,Invasive_Tumor,Xenium Reference,2.48533840212267,-2.67305103164765,6.16185306274863,-1.31304906828333,3,Domain 1,Tumor
real_38,274.9837,73.89307,Macrophages_1,Xenium Reference,7.40186567265003,-1.32545259282021,4.5974242564437,-14.2232718333416,6,Domain 2,Stromal
real_39,273.8066,74.64899,CD8+_T_Cells,Xenium Reference,8.04356442112552,-1.22540005554532,-0.751615745187087,-13.5352558955364,6,Domain 2,Stromal
real_40,278.1196,76.50724,Invasive_Tumor,Xenium Reference,2.00979263304901,-2.65627143836512,6.1010224696395,-0.768298761528024,3,Domain 1,Tumor
real_41,276.478,79.9801,Stromal,Xenium Reference,6.17753870063345,-2.19863679742298,1.93744920456381,-14.257524953764,6,Domain 2,Stromal
real_42,276.0375,83.98724,Stromal,Xenium Reference,4.53989690589271,-1.88102794810176,2.16877769196005,-13.4019942149334,6,Domain 2,Stromal
real_43,276.2626,95.12874,Stromal,Xenium Reference,11.6275716041064,-0.825130546221976,-0.488471877932829,-18.2325024470501,6,Domain 2,Stromal
real_44,278.477,97.23743,Stromal,Xenium Reference,13.660724149847,-0.422430009399295,-0.338941288352294,-18.3702549800091,6,Domain 2,Stromal
real_45,275.9335,98.79556,Stromal,Xenium Reference,13.3002890994461,-0.000941122838317747,-0.247977865100188,-18.3136830195599,6,Domain 2,Stromal
real_46,274.0363,99.57966,Stromal,Xenium Reference,12.7652458059113,-0.100957695955751,-0.476707291960997,-18.4554581507855,6,Domain 2,Stromal
real_47,273.2462,0.005470647,Invasive_Tumor,Xenium Reference,-5.23125518556443,-2.71260072572481,7.06233380997153,11.8416199818439,2,Domain 1,Tumor
real_48,276.3071,1.192428,Invasive_Tumor,Xenium Reference,-5.3696019219701,-2.43466204958461,8.56938241684409,13.8694787159748,2,Domain 1,Tumor
real_49,274.4989,1.501381,Prolif_Invasive_Tumor,Xenium Reference,-5.1410047150966,-2.44525508955576,4.75126575195761,9.93524505050849,4,Domain 1,Tumor
real_50,277.4916,1.40973,Prolif_Invasive_Tumor,Xenium Reference,-5.04872544828323,-2.0232078715003,4.14495443069907,10.4116597309894,4,Domain 1,Tumor
real_51,278.5045,2.026251,Invasive_Tumor,Xenium Reference,-5.33788628215612,-2.17063256917942,8.28404306137534,13.5954442158527,2,Domain 1,Tumor
real_52,276.8861,3.126406,Invasive_Tumor,Xenium Reference,-5.21117043892002,-2.31625874448023,6.5807940837142,10.4177098408527,4,Domain 1,Tumor
real_53,276.0059,18.81432,Invasive_Tumor,Xenium Reference,-5.21746499881559,-3.52135055074742,9.04230188095542,12.3024068013019,2,Domain 1,Tumor
real_54,278.0323,19.88459,Invasive_Tumor,Xenium Reference,-5.35475346267773,-3.63144904711505,9.44607518875571,11.87363578232,2,Domain 1,Tumor
real_55,277.4937,21.40522,Invasive_Tumor,Xenium Reference,-4.77791744101726,-3.48787215149881,9.35349725449057,12.2635750904865,2,Domain 1,Tumor
real_56,274.3751,22.10547,Invasive_Tumor,Xenium Reference,-4.61985032228598,-3.14375559930647,8.60523771011801,11.7304520741291,2,Domain 1,Tumor
real_57,276.6123,22.28465,Invasive_Tumor,Xenium Reference,-4.63211615805248,-3.66049766779318,8.03469918930502,11.8528466358967,4,Domain 1,Tumor
real_58,275.6231,22.73459,Invasive_Tumor,Xenium Reference,-4.73335331008573,-3.61706709972533,8.29051946365805,11.848206056673,2,Domain 1,Tumor
real_59,278.6053,23.26704,Invasive_Tumor,Xenium Reference,-4.74615520697788,-3.59518357541476,10.7241771098373,12.4686322346516,2,Domain 1,Tumor
real_60,274.5061,24.50971,Invasive_Tumor,Xenium Reference,-4.80315830486979,-3.76494630003849,7.02900336945029,10.1903119221516,4,Domain 1,Tumor
real_61,278.4624,25.37819,Invasive_Tumor,Xenium Reference,-4.92789884486789,-3.74416011005854,9.29926656448813,11.891120447237,2,Domain 1,Tumor
real_62,277.3451,27.14708,Invasive_Tumor,Xenium Reference,-5.31049322558035,-3.48632272971065,10.5326468821761,12.7404914036579,2,Domain 1,Tumor
real_63,273.2188,27.86464,Invasive_Tumor,Xenium Reference,-3.93914287354598,-3.1745664309999,8.4334027644393,5.40640403183173,3,Domain 1,Tumor
real_64,276.2499,26.80326,Invasive_Tumor,Xenium Reference,-5.43375210256264,-3.33478822136755,11.2747504588363,13.039407266695,2,Domain 1,Tumor
real_65,275.1847,27.20435,Invasive_Tumor,Xenium Reference,-5.44366699198835,-3.52430185265973,10.4026210185287,12.2330298558063,2,Domain 1,Tumor
real_66,279.0118,29.70409,Invasive_Tumor,Xenium Reference,-3.7252289997813,-3.58514864635915,9.33680318558188,7.86412574203681,9,Domain 1,Tumor
real_67,274.8374,29.3431,Invasive_Tumor,Xenium Reference,-4.87596581343432,-3.31589590300996,11.355198609471,12.2401032582111,2,Domain 1,Tumor
real_68,277.2606,30.37906,Invasive_Tumor,Xenium Reference,-3.95847883106697,-3.54114400594441,11.9320018168685,7.17734481247138,9,Domain 1,Tumor
real_69,274.5536,31.10454,Invasive_Tumor,Xenium Reference,-4.28796152145613,-3.14470375454293,9.82957528793784,8.66334964187812,9,Domain 1,Tumor
real_70,275.9213,31.95048,Invasive_Tumor,Xenium Reference,-3.01776962778798,-3.30039005632259,10.7155816432235,6.49208451660346,9,Domain 1,Tumor
real_71,277.7198,32.55146,T_Cell_&_Tumor_Hybrid,Xenium Reference,-1.80359025647806,-2.52568460322952,8.51334928238364,-11.0202717646771,6,Domain 2,Stromal
real_72,279.3103,3.718101,Invasive_Tumor,Xenium Reference,-5.37683790261129,-2.53948339187781,7.10216592514487,11.6195902958698,2,Domain 1,Tumor
real_73,275.2545,4.195571,Invasive_Tumor,Xenium Reference,-5.04857629547467,-2.64085065547477,11.0862061854598,11.9708275929279,2,Domain 1,Tumor
real_74,273.6172,5.035938,Invasive_Tumor,Xenium Reference,-3.59678674491995,-2.6083586097547,10.7672231074569,6.76004077346992,9,Domain 1,Tumor
real_75,277.3855,5.074233,Invasive_Tumor,Xenium Reference,-5.29428163561111,-2.53163670481252,10.6049697276351,11.8095765248127,2,Domain 1,Tumor
real_76,275.5272,5.820803,Invasive_Tumor,Xenium Reference,-3.91551244899981,-2.81497442869155,10.634856927037,7.08551455887031,9,Domain 1,Tumor
real_77,276.8096,6.632813,Invasive_Tumor,Xenium Reference,-3.85346094106203,-2.9285320630429,11.8924376841781,7.40417434127997,9,Domain 1,Tumor
real_78,277.4329,8.439823,Invasive_Tumor,Xenium Reference,-3.47430695361413,-3.20983324291786,10.9084756251571,7.19750358017158,9,Domain 1,Tumor
real_79,274.8803,9.421597,CD8+_T_Cells,Xenium Reference,-0.770279975024529,-2.77937826901124,8.72507737839194,-11.0150771006756,6,Domain 2,Stromal
real_80,275.8556,10.72929,Invasive_Tumor,Xenium Reference,-3.10330900744124,-3.32651033549919,11.4516608592269,6.36998559387397,9,Domain 1,Tumor
real_81,273.4658,11.96178,Invasive_Tumor,Xenium Reference,-3.02039024247687,-3.11599722020863,11.7419030543563,7.07043696792792,9,Domain 1,Tumor
real_82,276.3007,11.99543,Invasive_Tumor,Xenium Reference,-4.34065333746711,-3.00084814544375,12.0415418025252,7.274252428133,9,Domain 1,Tumor
real_83,278.7493,11.81376,Invasive_Tumor,Xenium Reference,-4.61778355609395,-2.79790273616968,7.97439264023276,9.74680758865546,9,Domain 1,Tumor
real_84,276.205,13.4874,Invasive_Tumor,Xenium Reference,-4.71369640276369,-2.81261736571894,5.6801559802291,10.2074217930622,4,Domain 1,Tumor
real_85,278.793,14.34251,Invasive_Tumor,Xenium Reference,-5.12096546232078,-2.96579570399446,7.75105737411948,12.4739670887775,2,Domain 1,Tumor
real_86,274.2898,15.26899,Invasive_Tumor,Xenium Reference,-4.90533863046013,-2.95882563839359,6.78100751602622,12.4226460591144,2,Domain 1,Tumor
real_87,275.5663,15.51043,Invasive_Tumor,Xenium Reference,-5.23893782369635,-3.22267156256949,7.62327836716147,12.8086714878864,2,Domain 1,Tumor
real_88,277.3927,16.28771,Invasive_Tumor,Xenium Reference,-5.4344477092239,-3.49556280093699,7.74808953964682,11.5386052265949,2,Domain 1,Tumor
real_89,278.1301,17.40531,Invasive_Tumor,Xenium Reference,-5.59401269179507,-3.7054181359522,9.53700040543051,12.51914359482,2,Domain 1,Tumor
real_90,274.0253,18.17875,Invasive_Tumor,Xenium Reference,-4.9426077864809,-3.01213852535836,7.25415204727622,12.5143075123615,2,Domain 1,Tumor
real_91,279.2949,21.47108,Invasive_Tumor,Xenium Reference,-5.30277512931416,-3.30111496195838,11.2242343302962,12.9099183216877,2,Domain 1,Tumor
real_92,279.0482,42.02672,Invasive_Tumor,Xenium Reference,-3.44311480216003,-2.97988421332914,8.43267987930747,2.63865162285041,3,Domain 1,Tumor
real_93,279.1312,48.38767,Endothelial,Xenium Reference,3.87193062114142,-2.12051399196403,6.41187213623496,-19.0482449397259,7,Domain 3,Tumor
real_94,279.3162,18.07858,Invasive_Tumor,Xenium Reference,-5.47747233854809,-3.31224830070272,10.80034517014,13.1628527775593,2,Domain 1,Tumor
real_95,278.8122,5.657792,Invasive_Tumor,Xenium Reference,-5.10616415199214,-2.83244733902773,7.15877889358969,11.4988598957844,2,Domain 1,Tumor
real_96,260.7563,85.82344,Invasive_Tumor,Xenium Reference,-4.85089039305223,-2.86889866698822,8.40792249405356,10.5302844181843,2,Domain 1,Tumor
real_97,257.9733,86.40575,Invasive_Tumor,Xenium Reference,0.891063268819623,-3.53902480494678,4.53416703903647,-2.94240723697473,9,Domain 1,Tumor
real_98,258.579,87.96603,Invasive_Tumor,Xenium Reference,0.962313421803278,-3.14284558530102,4.47002004349204,-2.71104346362878,9,Domain 1,Tumor
real_99,261.4031,87.0756,Invasive_Tumor,Xenium Reference,-4.30317669994122,-2.42154870428894,7.76950906479331,9.32294227035712,2,Domain 1,Tumor
real_100,263.1001,87.59015,Prolif_Invasive_Tumor,Xenium Reference,-3.37172380809535,-1.99671386675466,3.9241106387374,6.62038279922675,4,Domain 1,Tumor
real_101,254.8109,88.31252,CD8+_T_Cells,Xenium Reference,12.9769001918283,-2.59913615427058,-0.617868852973265,-12.4586891993694,6,Domain 2,Stromal
real_102,259.7461,88.87097,Invasive_Tumor,Xenium Reference,-0.372544740913884,-2.43976715487024,4.5052873965499,-2.43919764606286,3,Domain 1,Tumor
real_103,260.7197,88.89002,Invasive_Tumor,Xenium Reference,-1.92044520521763,-2.15891309089742,4.90426086151572,-0.297200010698328,3,Domain 1,Tumor
real_104,261.8474,89.18006,Prolif_Invasive_Tumor,Xenium Reference,-1.06804054962013,-1.68555309318201,4.18797801697226,-0.460465179365167,3,Domain 1,Tumor
real_105,256.0368,89.21846,Stromal,Xenium Reference,9.85131559805631,-3.43780804261487,-0.0637433055642076,-12.1513647898846,6,Domain 2,Stromal
real_106,258.7762,90.46144,Invasive_Tumor,Xenium Reference,5.79036869208419,-3.28797064475982,4.33559154236289,-3.76045225707818,9,Domain 1,Tumor
real_107,262.9039,90.75887,Stromal,Xenium Reference,3.95260322906162,-1.417231923431,4.99102805817099,-1.3060335866921,3,Domain 1,Tumor
real_108,255.4403,90.92922,Stromal,Xenium Reference,12.6858608420419,-3.28144792257095,-0.232084346175475,-12.2748513087444,6,Domain 2,Stromal
real_109,257.9304,92.73502,Macrophages_1,Xenium Reference,15.0684476006768,-3.43583248512981,3.15760587418051,-14.4148039683514,6,Domain 2,Stromal
real_110,255.7576,93.10366,CD8+_T_Cells,Xenium Reference,15.971049890655,-3.79692440076553,-0.888253946960253,-12.0250573023968,6,Domain 2,Stromal
real_111,262.3484,92.59745,Stromal,Xenium Reference,9.55479398433148,-0.689797981403715,3.89411185944052,-14.7549414500408,6,Domain 2,Stromal
real_112,256.3307,93.61267,CD8+_T_Cells,Xenium Reference,17.9666034984688,-3.97603463346559,-1.15399497485189,-11.6049351557903,6,Domain 2,Stromal
real_113,263.7842,95.02791,Stromal,Xenium Reference,12.2362180752007,-0.093651422356546,0.185833799481111,-15.7161736354046,6,Domain 2,Stromal
real_114,257.6459,94.43168,CD4+_T_Cells,Xenium Reference,17.4338980125681,-3.06855581137408,-0.632781130433363,-12.0284600123577,6,Domain 2,Stromal
real_115,260.1314,94.34782,Stromal,Xenium Reference,15.1326429528272,-1.65134187438646,-0.254482877612395,-12.4666476115398,6,Domain 2,Stromal
real_116,256.1343,94.78041,CD4+_T_Cells,Xenium Reference,18.2785180526439,-3.40769088163445,-0.704192635774893,-11.9852719172649,6,Domain 2,Stromal
real_117,255.4132,95.84314,CD4+_T_Cells,Xenium Reference,18.251744991352,-3.51102245010045,-0.72061641252069,-12.0305237635784,6,Domain 2,Stromal
real_118,257.3891,96.9827,CD8+_T_Cells,Xenium Reference,17.1977223603708,-2.85237441343518,-0.6869208935502,-12.0905337199383,6,Domain 2,Stromal
real_119,254.8587,97.28209,Stromal,Xenium Reference,17.0943647899466,-3.33522160997716,7.21230386459799,-22.075260625761,6,Domain 2,Stromal
real_120,261.7334,97.48714,Macrophages_1,Xenium Reference,16.2211534972028,-0.579843991295164,3.38419221603842,-14.6843724116497,6,Domain 2,Stromal
real_121,258.8888,99.79139,Macrophages_1,Xenium Reference,16.9809280350257,-1.23381733393127,3.38056777679892,-14.6485762461834,6,Domain 2,Stromal
real_122,262.3488,99.90953,B_Cells,Xenium Reference,15.4409618209335,-0.341635618369852,-5.11873699462442,-16.1787924632244,6,Domain 2,Stromal
real_123,261.9406,60.16656,Invasive_Tumor,Xenium Reference,2.02405375228546,-2.96475447016945,5.31511138641806,-2.56522344199944,3,Domain 1,Tumor
real_124,260.4615,61.00374,Invasive_Tumor,Xenium Reference,2.49308139311377,-2.31634790696093,5.17233632767172,-2.69038854686547,3,Domain 1,Tumor
real_125,258.1937,61.53969,Prolif_Invasive_Tumor,Xenium Reference,5.42786758013814,-1.74205415562717,5.02286075317832,-2.92458437530328,6,Domain 2,Stromal
real_126,255.2412,62.69133,Endothelial,Xenium Reference,8.40156656858057,-1.12260192697572,8.09119485580893,-21.0728955134564,7,Domain 3,Tumor
real_127,263.6123,62.73025,Invasive_Tumor,Xenium Reference,-4.61504113487553,-4.04265777181466,7.70762895309897,13.5117535725422,2,Domain 1,Tumor
real_128,260.7309,63.23466,Invasive_Tumor,Xenium Reference,-2.79330574005101,-4.10582398449896,8.51992963516684,5.21912528427314,3,Domain 1,Tumor
real_129,261.4547,64.82076,Prolif_Invasive_Tumor,Xenium Reference,-4.32377274487158,-4.04753526818995,2.97729729378195,10.1605534687824,4,Domain 1,Tumor
real_130,257.5492,64.61354,Invasive_Tumor,Xenium Reference,1.24680258720035,-3.60179806313463,5.79980300629111,-1.54005803314973,3,Domain 1,Tumor
real_131,259.754,65.10749,Invasive_Tumor,Xenium Reference,-3.23165935711713,-4.47290072853215,7.6182057734725,5.48553038986396,2,Domain 1,Tumor
real_132,262.9488,65.41911,Invasive_Tumor,Xenium Reference,-5.09062013413957,-4.00140600924565,3.01668809616538,10.3508505955524,4,Domain 1,Tumor
real_133,257.9481,66.76437,Invasive_Tumor,Xenium Reference,-0.790285138432469,-4.28221529875585,6.38237785065146,-0.278808103483209,3,Domain 1,Tumor
real_134,261.584,66.92751,Invasive_Tumor,Xenium Reference,-5.03758471634267,-4.29124389921602,7.3534409877059,13.4384970799274,2,Domain 1,Tumor
real_135,259.7359,67.77245,Invasive_Tumor,Xenium Reference,-3.58965943571471,-4.3482436278581,7.57198880875083,7.4682335987873,2,Domain 1,Tumor
real_136,254.8635,67.67769,Macrophages_1,Xenium Reference,9.88518332960596,-2.53805447106789,3.72787212097617,-14.5450157984905,6,Domain 2,Stromal
real_137,258.1207,69.00605,Invasive_Tumor,Xenium Reference,-1.10574158747638,-4.02794886220173,5.86735557281943,0.34943760784339,3,Domain 1,Tumor
real_138,262.5471,69.29592,Invasive_Tumor,Xenium Reference,-4.95898304298881,-4.26401690118652,7.43551992142172,12.0697407856769,2,Domain 1,Tumor
real_139,256.6178,70.19474,Invasive_Tumor,Xenium Reference,2.07079998044339,-3.25747168867096,5.54494975769492,-0.88508804289628,3,Domain 1,Tumor
real_140,257.5584,71.06963,Stromal,Xenium Reference,0.58444900835169,-3.71433476665395,4.53608344757529,0.180788053590765,3,Domain 1,Tumor
real_141,258.8334,71.29261,Invasive_Tumor,Xenium Reference,-1.79885641300383,-3.6889055957607,4.48909352982016,1.48306466491889,3,Domain 1,Tumor
real_142,263.2154,71.29742,Invasive_Tumor,Xenium Reference,-4.56457879707492,-4.02341207596365,8.07617162430258,11.8008055821247,2,Domain 1,Tumor
real_143,255.7817,71.54661,Stromal,Xenium Reference,4.22765536107331,-2.32582693337153,2.01170610153647,-13.3775267466717,6,Domain 2,Stromal
real_144,261.2155,71.2103,Invasive_Tumor,Xenium Reference,-3.82763385443923,-4.07702832343108,9.75336717331381,9.54909278305244,2,Domain 1,Tumor
real_145,260.1993,71.82731,Prolif_Invasive_Tumor,Xenium Reference,-2.95909921326101,-3.9521586623962,5.1649758692977,6.17424775512885,4,Domain 1,Tumor
real_146,262.5145,72.79984,Invasive_Tumor,Xenium Reference,-3.96359815510481,-4.17806258366526,9.71001790726157,10.684896959383,2,Domain 1,Tumor
real_147,263.9766,72.75794,Invasive_Tumor,Xenium Reference,-3.99570259048577,-4.17795767957814,7.87137483322592,11.2322125569172,2,Domain 1,Tumor
real_148,258.5424,73.40095,Stromal,Xenium Reference,-0.179109844358591,-2.71245589133868,2.66298674309226,-12.3243107661419,6,Domain 2,Stromal
real_149,261.1524,73.81343,Invasive_Tumor,Xenium Reference,-2.95353703632664,-3.87381775991595,9.58946202957602,9.95634795578193,2,Domain 1,Tumor
real_150,255.7116,73.41986,Invasive_Tumor,Xenium Reference,-0.93105901011882,-2.7007983971285,4.44655488693686,0.581452859956732,3,Domain 1,Tumor
real_151,254.2074,73.44361,Invasive_Tumor,Xenium Reference,-0.115971788843919,-2.74240523004475,5.60132049286337,-0.367175386827478,3,Domain 1,Tumor
real_152,254.8907,75.68883,Invasive_Tumor,Xenium Reference,-3.52608342531212,-2.95087430882647,9.44916413986655,8.83602858932685,2,Domain 1,Tumor
real_153,262.0599,75.47336,Invasive_Tumor,Xenium Reference,-3.42973895911128,-4.02443541590241,9.50979016983481,10.6591878071613,2,Domain 1,Tumor
real_154,256.4017,75.19733,Prolif_Invasive_Tumor,Xenium Reference,-3.32841938458214,-2.80572646682014,5.06241105759116,6.08038188369941,4,Domain 1,Tumor
real_155,257.7716,75.50757,Invasive_Tumor,Xenium Reference,-3.72186879644204,-3.29161563438739,9.66088651382895,8.45587111862372,3,Domain 1,Tumor
real_156,259.0899,75.80793,Invasive_Tumor,Xenium Reference,-3.83900736842173,-3.76952934519404,9.9192368861434,9.19878817947578,2,Domain 1,Tumor
real_157,259.583,76.84957,Invasive_Tumor,Xenium Reference,-4.42913710720326,-4.06771897353025,9.08420060837241,11.3634238377399,2,Domain 1,Tumor
real_158,261.027,77.09115,Invasive_Tumor,Xenium Reference,-4.46802233863724,-3.74431185116408,10.7463843699691,11.6304135456867,2,Domain 1,Tumor
real_159,255.3752,78.00201,Invasive_Tumor,Xenium Reference,-4.5992961364696,-3.30000939014644,10.0389058467147,12.5627446308918,2,Domain 1,Tumor
real_160,263.7187,77.16136,Prolif_Invasive_Tumor,Xenium Reference,-4.39041754415483,-3.69876871184415,3.91000722610922,9.84438563736152,4,Domain 1,Tumor
real_161,258.3041,78.25816,Invasive_Tumor,Xenium Reference,-5.3593579766237,-3.80658527368437,10.0499284144637,12.9081978932209,2,Domain 1,Tumor
real_162,255.6652,79.78305,Invasive_Tumor,Xenium Reference,-3.34701970842797,-3.62311315167834,6.52865289413901,6.86224128158759,4,Domain 1,Tumor
real_163,260.4924,79.3071,Invasive_Tumor,Xenium Reference,-5.28245372286556,-3.74045134213208,10.6380717631576,12.820826067049,2,Domain 1,Tumor
real_164,262.0159,79.81061,Invasive_Tumor,Xenium Reference,-5.19058659795519,-3.48437106858155,10.0447919245956,13.5923829212971,2,Domain 1,Tumor
real_165,263.3733,79.60809,Invasive_Tumor,Xenium Reference,-4.86498492042975,-3.42173078719026,9.10196374618979,13.1792292729206,2,Domain 1,Tumor
real_166,258.2207,80.56857,Invasive_Tumor,Xenium Reference,-4.75389912431104,-3.73211656261742,7.8329913493392,11.7377629414387,2,Domain 1,Tumor
real_167,260.0745,80.96215,Invasive_Tumor,Xenium Reference,-4.88552815844091,-3.18582800594184,9.09773324692221,12.7498307362385,2,Domain 1,Tumor
real_168,262.8997,81.69113,Invasive_Tumor,Xenium Reference,-4.97578384146812,-3.40021524902206,7.848871934056,11.5339665547199,2,Domain 1,Tumor
real_169,255.936,81.97214,Stromal,Xenium Reference,1.19323448783724,-4.00980274246794,4.51872180664511,-2.77991901485253,9,Domain 1,Tumor
real_170,261.2182,82.05084,Invasive_Tumor,Xenium Reference,-5.08861652131588,-3.32304682869945,9.9332806941268,12.4331145420856,2,Domain 1,Tumor
real_171,258.6386,82.57852,Invasive_Tumor,Xenium Reference,-4.0801776994566,-3.25097403312227,6.7838027354476,7.50766421707343,4,Domain 1,Tumor
real_172,260.4631,83.34195,Invasive_Tumor,Xenium Reference,-5.02825192739133,-3.24784810402876,10.1825749751327,12.1312632695026,2,Domain 1,Tumor
real_173,256.7986,84.33484,Invasive_Tumor,Xenium Reference,3.37393804197552,-3.86648910062007,4.37396167480918,-3.39167736617852,9,Domain 1,Tumor
real_174,263.5762,84.20621,Invasive_Tumor,Xenium Reference,-5.41423219620275,-3.11677948841603,10.1429231044051,12.5726504460163,2,Domain 1,Tumor
real_175,260.0156,84.63981,Invasive_Tumor,Xenium Reference,-4.45536874403461,-3.15161677855535,9.63881658279868,11.487727655489,2,Domain 1,Tumor
real_176,262.2424,84.21369,Invasive_Tumor,Xenium Reference,-5.1621432162757,-3.05159635249208,8.40980981552573,12.0638661518879,2,Domain 1,Tumor
