row,col,fitted_celltype,Dataset,PCA1,PCA2,UMAP1,UMAP2,UMAP1_cluster,domain_cluster,Tumor_label,niche
cell_14,0.024335,35.891728082,Invasive_Tumor,SimSpace,-1.52171132821501,-3.19327122508649,12.263401734471,4.43103028686713,9,Domain 1,Tumor,1
cell_15,0.08877265,39.018304389,Invasive_Tumor,SimSpace,-2.59798256110719,-2.16379273889331,11.9267966624496,5.7698431149311,9,Domain 1,Tumor,1
cell_16,0.06673487,41.21068795,Invasive_Tumor,SimSpace,-3.73220056005528,-2.21533773880647,10.6712453242538,8.36534930618476,9,Domain 1,Tumor,1
cell_17,0.29881581,42.887318467,Invasive_Tumor,SimSpace,-1.95353004878532,-2.98184427812179,9.91837667191,4.10574389846992,9,Domain 1,Tumor,1
cell_18,-0.04103165,44.202947539,Invasive_Tumor,SimSpace,0.61502662790063,-3.21367456336194,4.58062242233725,-1.22416809720922,3,Domain 1,Tumor,0
cell_19,0.06261354,60.288060728,Stromal,SimSpace,5.73568635933371,-1.79699396872287,0.386218416332918,-14.6765618189983,6,Domain 2,Stromal,0
cell_20,-0.17081915,85.198064562,Stromal,SimSpace,8.6192831287375,-1.57888972158,1.25659583771201,-16.0761160716229,6,Domain 2,Stromal,0
cell_21,-0.51059796,90.325286298,Stromal,SimSpace,7.70888434187324,-1.65547401869863,-0.0409038189652391,-15.2230725154095,6,Domain 2,Stromal,0
cell_22,0.13072372,97.258529204,T_Cell_&_Tumor_Hybrid,SimSpace,6.03324706283002,-2.44890585568698,-2.04487932956247,-12.9491762980633,6,Domain 2,Stromal,0
cell_23,1.17288724,0.302976459,Invasive_Tumor,SimSpace,-2.83696415872539,-2.11605178480714,11.1501033183333,8.50455523880195,9,Domain 1,Tumor,1
cell_24,0.851567,1.320865264,Invasive_Tumor,SimSpace,-2.02672095956061,-1.19815120180495,11.0711810466048,9.12210990341376,4,Domain 1,Tumor,1
cell_25,1.45395092,2.041613906,T_Cell_&_Tumor_Hybrid,SimSpace,-1.0532053348908,-0.60525921235953,8.52997373306723,-10.3295979365521,6,Domain 2,Stromal,1
cell_26,0.70912687,3.91415522,Invasive_Tumor,SimSpace,-2.95853069532455,-1.63059405478277,11.0060994502303,8.88547374160956,4,Domain 1,Tumor,1
cell_27,1.0091517,5.547551273,Invasive_Tumor,SimSpace,-4.15718726712741,-2.64728439034602,11.6324803706405,9.50854636581611,2,Domain 1,Tumor,1
cell_28,0.96256323,6.735453376,Invasive_Tumor,SimSpace,-4.5375135957543,-2.65584747914351,9.87726663315268,10.1358161106892,2,Domain 1,Tumor,1
cell_29,1.30655584,10.91034344,T_Cell_&_Tumor_Hybrid,SimSpace,-2.60924142524861,-2.67714639482879,8.74004052841635,-10.7394595011883,6,Domain 2,Stromal,1
cell_30,1.29387175,12.923652983,Invasive_Tumor,SimSpace,-4.48767768243325,-3.24477559872571,8.0860020991561,9.44031859787177,9,Domain 1,Tumor,1
cell_31,1.03098949,13.969441107,Invasive_Tumor,SimSpace,-4.81348023148962,-3.68218151648606,7.92676709854575,11.7285962239094,2,Domain 1,Tumor,1
cell_32,1.0756325,14.799847902,Invasive_Tumor,SimSpace,-4.77667822975149,-4.06003745879244,9.17192147934409,12.3913788929768,2,Domain 1,Tumor,1
cell_33,0.82244285,17.680844478,Invasive_Tumor,SimSpace,-0.128030719384577,-4.34991735758697,9.8339326258895,-3.02932082263757,3,Domain 1,Tumor,1
cell_34,0.60384071,18.973955367,Endothelial,SimSpace,3.8944378300432,-2.81386032925154,7.13419603073569,-20.2379765376263,7,Domain 3,Tumor,1
cell_35,0.93041757,23.962116414,Endothelial,SimSpace,8.4852913848039,-1.72362091807558,6.06246494019003,-21.6648468836956,7,Domain 3,Tumor,1
cell_36,1.03126979,30.838489192,Invasive_Tumor,SimSpace,-0.0620261827173617,-4.01436806441623,8.95145295822592,-1.03627535847951,3,Domain 1,Tumor,1
cell_37,1.24605814,32.851569568,T_Cell_&_Tumor_Hybrid,SimSpace,-0.670040296289273,-3.28198918423908,8.20127366745444,-11.5283112391644,6,Domain 2,Stromal,1
cell_38,1.24047597,33.811968682,Invasive_Tumor,SimSpace,-1.99525749261776,-3.69159311228867,12.1446969386336,4.59105588348578,9,Domain 1,Tumor,1
cell_39,0.92253464,36.920695252,T_Cell_&_Tumor_Hybrid,SimSpace,-0.281642296094212,-2.47353347036632,8.58482526504965,-10.6264710292034,6,Domain 2,Stromal,1
cell_40,0.93953945,38.828739435,Invasive_Tumor,SimSpace,-2.18721071994833,-2.03922259858466,12.2149522181747,4.89249421508979,9,Domain 1,Tumor,1
cell_41,0.79028941,40.251975066,Invasive_Tumor,SimSpace,-3.3584313022109,-2.11922716993868,9.25909398758383,7.41169978531074,9,Domain 1,Tumor,1
cell_42,0.71599641,47.048199346,Stromal,SimSpace,8.16927097373322,-1.99257218627713,0.268143403172212,-16.2058815821819,6,Domain 2,Stromal,0
cell_43,0.65874596,48.805536416,CD8+_T_Cells,SimSpace,9.46401226903885,-1.73175170290001,-2.19992376601724,-12.9549288615398,6,Domain 2,Stromal,0
cell_44,1.39015508,49.943910444,T_Cell_&_Tumor_Hybrid,SimSpace,8.40542676113004,-1.93769619419846,-1.91649545466928,-14.0665659770184,6,Domain 2,Stromal,0
cell_45,0.89806956,50.763942879,Stromal,SimSpace,7.54871211476148,-2.1206942658344,-1.31896190083055,-15.2030720576458,6,Domain 2,Stromal,0
cell_46,0.91238514,53.202433659,Stromal,SimSpace,9.59808002078315,-0.284605144821945,-0.238674295306487,-16.7679562434368,6,Domain 2,Stromal,0
cell_47,0.74944093,58.276837345,Stromal,SimSpace,9.83586584640937,0.128655091311811,-0.0283264640572496,-15.6145205363445,6,Domain 2,Stromal,0
cell_48,1.15549807,59.250400397,Stromal,SimSpace,7.71763454067542,-1.08827133449582,-0.171608102679534,-15.0314621791058,6,Domain 2,Stromal,0
cell_49,0.67722043,63.771061474,Invasive_Tumor,SimSpace,-2.07065049760717,-3.48310296252756,5.12444328033896,0.621875061113348,3,Domain 1,Tumor,1
cell_50,0.95745194,64.981746596,Invasive_Tumor,SimSpace,-3.88111723123844,-3.33213186952855,9.24219201767417,6.86748458297919,3,Domain 1,Tumor,1
cell_51,0.82090669,65.919685865,Invasive_Tumor,SimSpace,-4.15499060970706,-3.38058385669531,6.57068084442587,8.87468959243964,4,Domain 1,Tumor,1
cell_52,1.0773805,73.112402621,Prolif_Invasive_Tumor,SimSpace,3.12073733491451,-2.42618795933887,4.35562394821616,-4.12573240844537,9,Domain 1,Tumor,1
cell_53,0.89783897,77.798418039,Invasive_Tumor,SimSpace,5.98888306088194,-3.63934456079492,4.20575832092734,-4.32602785674859,9,Domain 1,Tumor,1
cell_54,0.76387356,90.864821661,T_Cell_&_Tumor_Hybrid,SimSpace,6.85348620016392,-2.44346877946274,-2.05029977595834,-12.9550900324993,6,Domain 2,Stromal,0
cell_55,1.99436355,-0.082643406,Invasive_Tumor,SimSpace,-3.24327679074731,-2.3363116058965,11.7219664927718,9.04439593704413,2,Domain 1,Tumor,1
cell_56,2.08566637,1.030657694,Invasive_Tumor,SimSpace,-2.7283719309678,-1.8513672870071,11.7919604655501,9.01878024490546,9,Domain 1,Tumor,1
cell_57,2.01330344,6.138825742,Invasive_Tumor,SimSpace,-4.41184362188703,-2.58227414468734,7.91112874710532,9.52795077713203,2,Domain 1,Tumor,1
cell_58,2.06049438,7.934254461,Invasive_Tumor,SimSpace,-4.8061342584255,-2.6451705327543,10.4105346080062,10.1897559300251,2,Domain 1,Tumor,1
cell_59,1.87313558,9.132793015,Invasive_Tumor,SimSpace,-3.87654889943136,-2.87172687149278,7.56319593155356,8.95477725418281,4,Domain 1,Tumor,1
cell_60,1.92745177,11.164415271,Invasive_Tumor,SimSpace,-3.67304334081296,-2.92327930673672,10.809902894139,7.40376235397529,9,Domain 1,Tumor,1
cell_61,1.86550791,11.957356953,Invasive_Tumor,SimSpace,-3.85193328355614,-3.06501366873876,8.58700250351401,8.55189467819404,9,Domain 1,Tumor,1
cell_62,1.92808937,14.750868373,Invasive_Tumor,SimSpace,-5.02284297093323,-3.4317888839065,9.80041288101645,13.3371014729328,2,Domain 1,Tumor,1
cell_63,1.83737074,19.765761933,Invasive_Tumor,SimSpace,2.62065210002002,-3.19818924671112,9.28554700577231,-5.09943364707757,3,Domain 1,Tumor,1
cell_64,1.65474348,21.118345395,Endothelial,SimSpace,6.86958503695117,-2.0732153758688,6.5575802203414,-21.1117367610149,7,Domain 3,Tumor,1
cell_65,2.03548523,25.904755113,Endothelial,SimSpace,8.3589859595452,-2.33990800027646,6.0753033038375,-21.5189366206341,7,Domain 3,Tumor,1
cell_66,1.91964381,27.657474135,Macrophages_1,SimSpace,6.74287181233879,-3.20716867219311,6.16868900024863,-14.8116688594036,6,Domain 2,Stromal,1
cell_67,1.67396033,32.122590474,T_Cell_&_Tumor_Hybrid,SimSpace,-0.077418649079706,-3.58762494752253,8.30343698227377,-10.839800344389,6,Domain 2,Stromal,1
cell_68,2.09255645,33.025910904,Invasive_Tumor,SimSpace,-1.59428547927159,-3.69092977023806,12.024204003453,3.87688256653022,9,Domain 1,Tumor,1
cell_69,1.81854033,34.718806584,Invasive_Tumor,SimSpace,-2.2314496408307,-3.59654615353532,12.7221038218734,4.01693011673163,9,Domain 1,Tumor,1
cell_70,2.01038908,36.235883996,Prolif_Invasive_Tumor,SimSpace,-1.34129695657696,-3.41618180419163,12.900497185826,2.96118403824042,9,Domain 1,Tumor,1
cell_71,2.14581811,38.167327197,Invasive_Tumor,SimSpace,-1.11283155834919,-2.77663055815376,13.4218833323714,2.77442122848701,9,Domain 1,Tumor,1
cell_72,2.02579658,42.02774905,Invasive_Tumor,SimSpace,-2.14380448603487,-2.84866838839265,7.44275449478598,4.87053777130317,9,Domain 1,Tumor,1
cell_73,2.22788014,42.745136126,Invasive_Tumor,SimSpace,-1.14217753146554,-2.92005883026129,9.76369928085776,3.37397195251655,3,Domain 1,Tumor,1
cell_74,1.75303484,48.719533893,Stromal,SimSpace,9.33315446994598,-1.79289063369365,-0.873120603323264,-15.2665953501873,6,Domain 2,Stromal,0
cell_75,2.08046833,51.938586303,B_Cells,SimSpace,9.01872217555738,-0.668240717622768,-5.18116356170206,-15.6656212672405,6,Domain 2,Stromal,0
cell_76,1.86303798,56.657216922,Stromal,SimSpace,8.92952216848272,0.575137027630361,-0.95775560027389,-15.5880932673626,6,Domain 2,Stromal,0
cell_77,1.82584057,59.081016055,CD8+_T_Cells,SimSpace,9.19410464559511,-0.264784120264434,-1.96605147159128,-13.0921368464642,6,Domain 2,Stromal,0
cell_78,1.88423007,60.717835337,Stromal,SimSpace,7.32372520308682,-1.2362778597876,1.21561597549887,-14.5423455104046,6,Domain 2,Stromal,0
cell_79,1.93768949,63.032982546,Invasive_Tumor,SimSpace,-1.14858992701066,-3.36310228509933,5.21148418152304,0.0387002363986877,3,Domain 1,Tumor,1
cell_80,2.01123307,65.942373709,Prolif_Invasive_Tumor,SimSpace,-4.22426017712543,-3.19157493290116,5.06700776779624,9.32317210586738,4,Domain 1,Tumor,1
cell_81,1.76697003,71.142357054,Prolif_Invasive_Tumor,SimSpace,0.103759618696499,-2.09423271438429,12.8170335170028,2.10997868927192,9,Domain 1,Tumor,1
cell_82,2.1801653,72.812410481,CD8+_T_Cells,SimSpace,4.83936268122499,-1.34123392327265,-1.26448391115694,-11.3296227320843,6,Domain 2,Stromal,1
cell_83,2.09313249,76.05474589,Invasive_Tumor,SimSpace,5.96581749575556,-3.7933210748489,4.20153068268271,-4.32295034972955,9,Domain 1,Tumor,1
cell_84,1.69275126,76.721031961,CD8+_T_Cells,SimSpace,8.51705325490631,-3.18636429063354,-1.11034704482583,-11.2651553019695,6,Domain 2,Stromal,1
cell_85,2.29765044,82.15910991,Endothelial,SimSpace,9.45863628526921,-1.70321810110735,7.56847451889487,-21.5169815882855,7,Domain 3,Tumor,1
cell_86,2.37917784,94.977007647,Stromal,SimSpace,6.52606792345392,-1.98213537188798,0.0358672019240431,-15.2216133937054,6,Domain 2,Stromal,0
cell_87,2.23575591,97.099170134,Stromal,SimSpace,6.93997138417124,-2.69262804330216,-0.340294731021208,-15.6120695933514,6,Domain 2,Stromal,0
cell_88,2.96401503,-0.264105069,Invasive_Tumor,SimSpace,-3.6445189308617,-2.27585810926438,10.6639726039168,8.22156096847724,9,Domain 1,Tumor,1
cell_89,2.78584948,4.099816855,Invasive_Tumor,SimSpace,-2.89764803776789,-1.37755549193257,10.9261758204696,8.51275111587714,9,Domain 1,Tumor,1
cell_90,3.21089035,6.061240679,Invasive_Tumor,SimSpace,-4.66977801781996,-2.51970107316994,8.34016488754721,9.17635871322822,2,Domain 1,Tumor,1
cell_91,2.91936461,13.072739579,Prolif_Invasive_Tumor,SimSpace,-4.33278641090177,-2.89590168515935,3.8620726939437,9.64401198776435,4,Domain 1,Tumor,1
cell_92,3.24448901,14.062526793,Invasive_Tumor,SimSpace,-4.76148799381943,-3.18017718048785,7.57838224136801,12.6648545399494,2,Domain 1,Tumor,1
cell_93,3.041655,15.961307223,Invasive_Tumor,SimSpace,-4.6940860793542,-3.55195482851199,9.43586419784995,10.9005589619465,2,Domain 1,Tumor,1
cell_94,3.19532781,20.248259844,Invasive_Tumor,SimSpace,2.19199348825747,-3.78180605789716,9.2684504863021,-5.08808063117791,3,Domain 1,Tumor,1
cell_95,3.07127328,22.968820403,Endothelial,SimSpace,8.77966328787427,-1.7843393121308,5.6494581576583,-20.3351425990276,7,Domain 3,Tumor,1
cell_96,3.14131463,34.85216616,Invasive_Tumor,SimSpace,-2.0154930271459,-3.54934514270446,12.8837258692977,3.87848092468452,9,Domain 1,Tumor,1
cell_97,3.0021,36.988254761,T_Cell_&_Tumor_Hybrid,SimSpace,0.278336427488068,-2.52543623086023,8.2408921595809,-10.9981055125408,6,Domain 2,Stromal,1
cell_98,3.3571741,37.809896411,Invasive_Tumor,SimSpace,-0.609781665481015,-3.2350994634581,13.6990554209945,2.80465032013129,9,Domain 1,Tumor,1
cell_99,3.02538242,38.907200715,Invasive_Tumor,SimSpace,-0.815436298842084,-2.82788827899917,13.6363246318099,2.85776664169501,9,Domain 1,Tumor,1
cell_100,3.08039787,40.964550677,Invasive_Tumor,SimSpace,-1.2012099926318,-2.1778561548367,12.3973729487655,4.07041884811591,9,Domain 1,Tumor,1
cell_101,3.37663014,42.924089176,Invasive_Tumor,SimSpace,0.445479630404529,-2.28037636816628,4.47524713242026,-1.43174313155938,3,Domain 1,Tumor,1
cell_102,2.73044819,48.039879415,CD8+_T_Cells,SimSpace,10.2631543967227,-1.09406299328319,-1.91232837474374,-12.8355021342449,6,Domain 2,Stromal,0
cell_103,2.745903,49.389152278,Stromal,SimSpace,10.5335386103826,-1.13331594416296,-0.303471935153288,-16.6631369456463,6,Domain 2,Stromal,0
cell_104,3.19387934,55.114189968,Stromal,SimSpace,8.77648890295087,-0.0334808063186397,-1.21938578522233,-15.6256337031536,6,Domain 2,Stromal,0
cell_105,2.76537532,59.214460129,Stromal,SimSpace,9.58770503104653,-0.0165610074955328,-0.602330965161604,-15.3888497218304,6,Domain 2,Stromal,0
cell_106,3.38872424,63.899258113,Invasive_Tumor,SimSpace,-1.99856065579447,-3.26960578716414,8.94064305984946,0.827057613450995,3,Domain 1,Tumor,1
cell_107,2.9172762,66.882596742,Invasive_Tumor,SimSpace,-3.87080788454666,-3.1386361453025,7.42353414261313,10.3762498036213,2,Domain 1,Tumor,1
cell_108,2.85050904,72.924364391,Prolif_Invasive_Tumor,SimSpace,3.66802218968738,-1.92807331683837,4.27271007263632,-4.24390481559564,9,Domain 1,Tumor,1
cell_109,3.38458841,75.170577819,CD8+_T_Cells,SimSpace,8.31040474206565,-2.92159433162181,-1.2043903890851,-11.2197155818157,6,Domain 2,Stromal,1
cell_110,3.29610296,75.570376304,Prolif_Invasive_Tumor,SimSpace,6.13171321868527,-3.34057684248412,4.20163224899741,-4.32396100608636,9,Domain 1,Tumor,1
cell_111,3.37351179,76.793367045,CD8+_T_Cells,SimSpace,9.23804924667942,-3.22552374418038,-1.32437787687807,-11.3653368815594,6,Domain 2,Stromal,1
cell_112,3.18120893,81.020467169,Endothelial,SimSpace,9.93401383233646,-2.12492422417681,7.55411027634116,-21.5279259547405,7,Domain 3,Tumor,1
cell_113,2.82775486,88.955181527,Stromal,SimSpace,9.27196960448807,-0.941033998262984,0.481786238789278,-16.6958498820477,6,Domain 2,Stromal,0
cell_114,3.38201299,98.393545936,CD8+_T_Cells,SimSpace,7.55792538880798,-2.49096476464269,-2.12929238116769,-12.7741331919842,6,Domain 2,Stromal,0
cell_115,3.94639933,1.089536643,Invasive_Tumor,SimSpace,-3.44150263303502,-2.04542525170624,9.37310956680747,7.64570762069892,9,Domain 1,Tumor,1
cell_116,4.16049128,1.867561711,Invasive_Tumor,SimSpace,-3.49441144361565,-1.97058712578754,11.4030406352279,8.65652324112128,9,Domain 1,Tumor,1
cell_117,4.18945039,6.684478586,Invasive_Tumor,SimSpace,-4.57754353281277,-2.33206024686948,7.18306421005698,9.84732486160468,4,Domain 1,Tumor,1
cell_118,3.96899798,9.931887993,Invasive_Tumor,SimSpace,-4.71464003035628,-2.63652122674021,10.3360135432479,10.9809308186359,2,Domain 1,Tumor,1
cell_119,4.12281587,10.739355983,Invasive_Tumor,SimSpace,-4.77986779593604,-2.52718797805676,9.91595433914633,11.1687617436237,2,Domain 1,Tumor,1
cell_120,4.18444133,16.09335013,Invasive_Tumor,SimSpace,-4.14594507693758,-3.02060328345956,9.92992376053305,8.15859176071357,2,Domain 1,Tumor,1
cell_121,4.07528511,17.032221264,Invasive_Tumor,SimSpace,-3.18036387751815,-3.33427575280232,9.1395795222518,3.18523789795112,3,Domain 1,Tumor,1
cell_122,3.78011984,19.064006386,Invasive_Tumor,SimSpace,0.292455945386758,-3.55133536042229,9.50310109817954,-3.06730960456658,3,Domain 1,Tumor,1
cell_123,4.05964763,29.415835333,Endothelial,SimSpace,5.53981141886493,-3.06477758860659,7.39558194839926,-20.5411724909954,7,Domain 3,Tumor,1
cell_124,4.26527718,29.818506804,Invasive_Tumor,SimSpace,2.52318670822841,-3.81828155704385,9.21793626511069,-4.7469775542431,3,Domain 1,Tumor,1
cell_125,3.86108643,38.961519158,T_Cell_&_Tumor_Hybrid,SimSpace,1.37954031460477,-2.30048925085407,8.3741519328353,-10.6724734172039,6,Domain 2,Stromal,1
cell_126,3.97007309,39.757496851,Invasive_Tumor,SimSpace,-0.0807620280093773,-2.55979048611677,13.6903903361556,2.75197698028754,9,Domain 1,Tumor,1
cell_127,3.91296929,41.983880297,Invasive_Tumor,SimSpace,0.520135094490888,-1.87605074486195,4.64786409103842,-1.79779486505319,9,Domain 1,Tumor,1
cell_128,4.36985275,43.318654723,T_Cell_&_Tumor_Hybrid,SimSpace,3.06384728493587,-2.22776754360777,6.17703651154013,-11.203889356535,6,Domain 2,Stromal,1
cell_129,4.13445895,44.11374448,Stromal,SimSpace,4.65558147677182,-1.59348095854751,2.08142207825156,-13.4867224559002,6,Domain 2,Stromal,0
cell_130,4.08149237,55.977102591,T_Cell_&_Tumor_Hybrid,SimSpace,8.94486272897901,0.202340553476866,-2.27676190173654,-13.4809069499188,6,Domain 2,Stromal,0
cell_131,3.84601679,57.05032605,B_Cells,SimSpace,10.5616003411004,0.883074857536081,-4.49119616782693,-15.083862768095,6,Domain 2,Stromal,0
cell_132,4.10784984,61.757828872,Invasive_Tumor,SimSpace,3.56122136627993,-2.93694798245133,5.52845691406699,-2.33207784740258,3,Domain 1,Tumor,1
cell_133,3.86513347,63.921253258,Invasive_Tumor,SimSpace,-1.52749899416434,-3.53914472693359,9.20321248733969,0.382132662851324,3,Domain 1,Tumor,1
cell_134,4.00636611,66.017050515,Invasive_Tumor,SimSpace,-3.02666768759148,-2.65672960310382,7.77510427200766,6.09651328476142,3,Domain 1,Tumor,1
cell_135,3.87283078,69.019884397,Prolif_Invasive_Tumor,SimSpace,-2.68064847850449,-2.3515657923559,6.50635741913291,7.10753680618476,9,Domain 1,Tumor,1
cell_136,4.13528666,69.693876751,Invasive_Tumor,SimSpace,-1.85443472000473,-2.77708744894592,9.51168035232993,5.26843739898871,9,Domain 1,Tumor,1
cell_137,4.11531816,71.065524636,Stromal,SimSpace,0.802202465394145,-2.23031825274026,12.755308854222,3.05353499801826,9,Domain 1,Tumor,1
cell_138,3.95834025,72.055839299,Invasive_Tumor,SimSpace,1.76484398408297,-2.48730528312487,4.48446963989707,-3.91696737853814,9,Domain 1,Tumor,1
cell_139,4.07920134,73.924589759,CD8+_T_Cells,SimSpace,8.02674319348376,-2.38753948658301,-1.13721796607999,-11.2352022990398,6,Domain 2,Stromal,1
cell_140,3.7813877,76.000835,CD8+_T_Cells,SimSpace,8.17637869563752,-2.86608448366213,-1.15392468607454,-11.1999869212322,6,Domain 2,Stromal,1
cell_141,3.70174848,76.703301689,CD8+_T_Cells,SimSpace,9.71728725406485,-2.72575601132265,-1.17103589808969,-11.2224821910076,6,Domain 2,Stromal,1
cell_142,4.08787834,86.704040877,B_Cells,SimSpace,9.00756681985135,-0.835632522862076,-4.36450744903116,-15.1072888240032,6,Domain 2,Stromal,0
cell_143,4.0333347,94.026937452,Stromal,SimSpace,6.20955356799526,-1.52686967209445,-0.0307802680733629,-15.0978236064129,6,Domain 2,Stromal,0
cell_144,4.12700629,96.866455362,Stromal,SimSpace,6.19166521234165,-2.74281766395383,-0.616152477622313,-14.9581589564495,6,Domain 2,Stromal,0
cell_145,5.47662895,6.997688896,Invasive_Tumor,SimSpace,-5.01198489044661,-2.51352839921918,9.02970002853842,11.5763068333454,2,Domain 1,Tumor,1
cell_146,5.1888959,9.167898134,Invasive_Tumor,SimSpace,-4.90690894300832,-1.89298569851713,10.9983737345931,10.6085372105427,2,Domain 1,Tumor,1
cell_147,4.81743555,9.965214014,Invasive_Tumor,SimSpace,-4.76596731929935,-2.38959711908415,6.8875625010726,10.4938893452473,2,Domain 1,Tumor,1
cell_148,5.22340326,11.437866389,Invasive_Tumor,SimSpace,-4.96444495766158,-2.12232513322962,6.23489068710776,9.72437144668769,4,Domain 1,Tumor,1
cell_149,4.73681852,13.969869272,Invasive_Tumor,SimSpace,-4.91009895810557,-2.67507948926815,7.1264827128646,12.4740586415119,2,Domain 1,Tumor,1
cell_150,4.90768308,14.903791196,Prolif_Invasive_Tumor,SimSpace,-4.29281305841847,-2.80788630824511,3.17303918564292,9.6723294392414,4,Domain 1,Tumor,1
cell_151,4.98635168,17.953061129,Invasive_Tumor,SimSpace,-0.778348189417124,-3.31539111788576,8.70650743210288,-3.04070161430169,3,Domain 1,Tumor,1
cell_152,5.34266854,20.179946163,Endothelial,SimSpace,5.71971999618622,-3.62834894690945,6.34654306137534,-20.3512787684612,7,Domain 3,Tumor,1
cell_153,4.85104904,36.684293963,Invasive_Tumor,SimSpace,-1.54297363710347,-2.895739900155,13.654086815953,2.96854258926581,9,Domain 1,Tumor,1
cell_154,4.83471229,38.048791325,T_Cell_&_Tumor_Hybrid,SimSpace,0.593214761951621,-2.4332877430868,8.38466333115073,-11.5618433818035,6,Domain 2,Stromal,1
cell_155,4.9803095,39.314060782,T_Cell_&_Tumor_Hybrid,SimSpace,1.37310114760139,-2.23050934464458,8.11793492996665,-10.8241104945355,6,Domain 2,Stromal,1
cell_156,4.86730434,41.874811377,T_Cell_&_Tumor_Hybrid,SimSpace,2.24429433076527,-1.84364099908629,7.75707887375327,-10.7984614237957,6,Domain 2,Stromal,1
cell_157,5.22532718,43.094465577,Stromal,SimSpace,3.00650139302544,-2.37190035743423,4.72790883743735,-1.94388245193292,3,Domain 1,Tumor,0
cell_158,4.7840137,45.193261156,Macrophages_1,SimSpace,5.20221224473058,-1.82743063834962,3.64236282074423,-13.8569302424603,6,Domain 2,Stromal,0
cell_159,4.77050627,46.042046288,Stromal,SimSpace,6.81815470635639,-1.35049266211735,-0.148562443614287,-14.7157807215862,6,Domain 2,Stromal,0
cell_160,4.91243599,48.862980604,Stromal,SimSpace,9.11409100040322,-0.912373156111585,-0.671507996678633,-16.0892901286297,6,Domain 2,Stromal,0
cell_161,4.90039351,51.858095798,B_Cells,SimSpace,8.49307278998476,-0.677993440169284,-3.88650800025491,-15.0759262904339,6,Domain 2,Stromal,0
cell_162,5.38590641,62.148760031,Endothelial,SimSpace,5.85400728420004,-2.32660874157636,1.35584806168051,-14.0826983317547,6,Domain 2,Stromal,1
cell_163,5.18988416,64.118429818,Endothelial,SimSpace,1.95006025033733,-2.49403208059521,8.66229509079428,-20.2657227381878,7,Domain 3,Tumor,1
cell_164,5.01751025,64.842706317,Invasive_Tumor,SimSpace,-1.12002570044791,-3.02168676412218,9.51830362045737,-0.456988023202905,3,Domain 1,Tumor,1
cell_165,4.7549129,67.764705369,Prolif_Invasive_Tumor,SimSpace,-3.48954311933658,-2.78128134061583,3.21946309769126,9.7465071812458,4,Domain 1,Tumor,1
cell_166,5.1688726,82.743838657,Stromal,SimSpace,7.21526837502053,-2.07183674035269,2.24329780304404,-14.3451437815838,6,Domain 2,Stromal,0
cell_167,4.79995693,84.332330372,Stromal,SimSpace,7.53778766925793,-2.03859334681703,1.38875578606101,-15.1668219432049,6,Domain 2,Stromal,0
cell_168,4.69104578,91.986410976,Stromal,SimSpace,6.65714691982063,-0.944429205201303,-0.332558286547942,-15.0634035929852,6,Domain 2,Stromal,0
