,Cell,Cell_type
113,C_114,CD8+_T_Cells
114,C_115,Endothelial
115,C_116,Prolif_Invasive_Tumor
116,C_117,Invasive_Tumor
117,C_118,Stromal
118,C_119,Prolif_Invasive_Tumor
119,C_120,Prolif_Invasive_Tumor
120,C_121,T_Cell_&_Tumor_Hybrid
121,C_122,Prolif_Invasive_Tumor
122,C_123,Stromal
123,C_124,Endothelial
124,C_125,Stromal
125,C_126,Macrophages_1
126,C_127,Invasive_Tumor
127,C_128,Prolif_Invasive_Tumor
128,C_129,CD4+_T_Cells
129,C_130,T_Cell_&_Tumor_Hybrid
130,C_131,Endothelial
131,C_132,Endothelial
132,C_133,Macrophages_1
133,C_134,Stromal
134,C_135,Invasive_Tumor
135,C_136,Macrophages_1
136,C_137,CD8+_T_Cells
137,C_138,Stromal
138,C_139,Invasive_Tumor
139,C_140,Invasive_Tumor
140,C_141,Endothelial
141,C_142,Endothelial
142,C_143,Stromal
143,C_144,Stromal
144,C_145,Endothelial
145,C_146,Stromal
146,C_147,CD8+_T_Cells
147,C_148,B_Cells
148,C_149,Prolif_Invasive_Tumor
149,C_150,Macrophages_1
150,C_151,Stromal
151,C_152,Macrophages_1
152,C_153,Macrophages_1
153,C_154,Invasive_Tumor
154,C_155,Endothelial
155,C_156,Macrophages_1
156,C_157,Prolif_Invasive_Tumor
157,C_158,T_Cell_&_Tumor_Hybrid
158,C_159,Stromal
159,C_160,Endothelial
160,C_161,CD8+_T_Cells
161,C_162,B_Cells
162,C_163,CD8+_T_Cells
163,C_164,Prolif_Invasive_Tumor
164,C_165,Stromal
165,C_166,Invasive_Tumor
166,C_167,CD4+_T_Cells
167,C_168,Prolif_Invasive_Tumor
168,C_169,CD8+_T_Cells
169,C_170,CD4+_T_Cells
170,C_171,B_Cells
171,C_172,Prolif_Invasive_Tumor
172,C_173,Stromal
173,C_174,B_Cells
174,C_175,Invasive_Tumor
175,C_176,CD8+_T_Cells
176,C_177,Stromal
177,C_178,CD8+_T_Cells
178,C_179,Macrophages_1
179,C_180,Macrophages_1
180,C_181,Endothelial
181,C_182,Invasive_Tumor
182,C_183,Stromal
183,C_184,Invasive_Tumor
184,C_185,CD8+_T_Cells
185,C_186,B_Cells
186,C_187,Prolif_Invasive_Tumor
187,C_188,T_Cell_&_Tumor_Hybrid
188,C_189,Prolif_Invasive_Tumor
189,C_190,CD4+_T_Cells
190,C_191,Prolif_Invasive_Tumor
191,C_192,CD8+_T_Cells
192,C_193,Macrophages_1
193,C_194,Endothelial
194,C_195,Endothelial
195,C_196,Endothelial
196,C_197,Endothelial
197,C_198,Invasive_Tumor
198,C_199,Endothelial
199,C_200,Invasive_Tumor
200,C_201,Invasive_Tumor
201,C_202,Stromal
202,C_203,Invasive_Tumor
203,C_204,Prolif_Invasive_Tumor
204,C_205,Endothelial
205,C_206,Stromal
206,C_207,Prolif_Invasive_Tumor
207,C_208,Invasive_Tumor
208,C_209,Stromal
209,C_210,B_Cells
210,C_211,CD4+_T_Cells
211,C_212,Endothelial
212,C_213,T_Cell_&_Tumor_Hybrid
213,C_214,Prolif_Invasive_Tumor
214,C_215,Prolif_Invasive_Tumor
215,C_216,Prolif_Invasive_Tumor
216,C_217,Invasive_Tumor
217,C_218,Macrophages_1
218,C_219,B_Cells
219,C_220,Macrophages_1
220,C_221,CD8+_T_Cells
221,C_222,Endothelial
222,C_223,Invasive_Tumor
223,C_224,Endothelial
224,C_225,Macrophages_1
225,C_226,Endothelial
226,C_227,CD8+_T_Cells
227,C_228,Macrophages_1
228,C_229,CD8+_T_Cells
229,C_230,Invasive_Tumor
230,C_231,Stromal
231,C_232,CD8+_T_Cells
232,C_233,CD8+_T_Cells
233,C_234,Endothelial
234,C_235,CD4+_T_Cells
235,C_236,B_Cells
236,C_237,T_Cell_&_Tumor_Hybrid
237,C_238,T_Cell_&_Tumor_Hybrid
238,C_239,CD8+_T_Cells
239,C_240,B_Cells
240,C_241,T_Cell_&_Tumor_Hybrid
241,C_242,Invasive_Tumor
242,C_243,Stromal
243,C_244,Stromal
244,C_245,Macrophages_1
245,C_246,Stromal
246,C_247,T_Cell_&_Tumor_Hybrid
247,C_248,Macrophages_1
248,C_249,CD8+_T_Cells
249,C_250,CD8+_T_Cells
250,C_251,CD8+_T_Cells
251,C_252,Invasive_Tumor
252,C_253,Prolif_Invasive_Tumor
253,C_254,Macrophages_1
254,C_255,Prolif_Invasive_Tumor
255,C_256,Stromal
256,C_257,CD8+_T_Cells
257,C_258,Stromal
258,C_259,Stromal
259,C_260,Invasive_Tumor
260,C_261,Prolif_Invasive_Tumor
261,C_262,Invasive_Tumor
262,C_263,Endothelial
263,C_264,Endothelial
264,C_265,B_Cells
265,C_266,Macrophages_1
266,C_267,B_Cells
267,C_268,Prolif_Invasive_Tumor
268,C_269,B_Cells
269,C_270,Prolif_Invasive_Tumor
270,C_271,Stromal
271,C_272,Endothelial
272,C_273,Stromal
273,C_274,Endothelial
274,C_275,Macrophages_1
275,C_276,Stromal
276,C_277,Endothelial
277,C_278,Endothelial
278,C_279,Stromal
279,C_280,Prolif_Invasive_Tumor
280,C_281,Endothelial
281,C_282,CD8+_T_Cells
282,C_283,T_Cell_&_Tumor_Hybrid
283,C_284,Stromal
284,C_285,Endothelial
285,C_286,Endothelial
286,C_287,Invasive_Tumor
287,C_288,T_Cell_&_Tumor_Hybrid
288,C_289,T_Cell_&_Tumor_Hybrid
289,C_290,Prolif_Invasive_Tumor
290,C_291,Macrophages_1
291,C_292,Stromal
292,C_293,Endothelial
293,C_294,Invasive_Tumor
294,C_295,Stromal
295,C_296,Macrophages_1
296,C_297,Macrophages_1
297,C_298,Prolif_Invasive_Tumor
298,C_299,Stromal
299,C_300,Macrophages_1
300,C_301,Invasive_Tumor
301,C_302,T_Cell_&_Tumor_Hybrid
302,C_303,T_Cell_&_Tumor_Hybrid
303,C_304,T_Cell_&_Tumor_Hybrid
304,C_305,T_Cell_&_Tumor_Hybrid
305,C_306,B_Cells
306,C_307,T_Cell_&_Tumor_Hybrid
307,C_308,B_Cells
308,C_309,T_Cell_&_Tumor_Hybrid
309,C_310,T_Cell_&_Tumor_Hybrid
310,C_311,B_Cells
311,C_312,B_Cells
312,C_313,CD8+_T_Cells
313,C_314,B_Cells
314,C_315,T_Cell_&_Tumor_Hybrid
315,C_316,CD4+_T_Cells
316,C_317,CD8+_T_Cells
317,C_318,CD4+_T_Cells
318,C_319,CD8+_T_Cells
319,C_320,B_Cells
320,C_321,T_Cell_&_Tumor_Hybrid
321,C_322,T_Cell_&_Tumor_Hybrid
322,C_323,B_Cells
323,C_324,T_Cell_&_Tumor_Hybrid
324,C_325,B_Cells
325,C_326,B_Cells
326,C_327,CD4+_T_Cells
327,C_328,CD8+_T_Cells
328,C_329,B_Cells
329,C_330,T_Cell_&_Tumor_Hybrid
330,C_331,T_Cell_&_Tumor_Hybrid
331,C_332,CD8+_T_Cells
332,C_333,B_Cells
333,C_334,CD8+_T_Cells
334,C_335,B_Cells
335,C_336,T_Cell_&_Tumor_Hybrid
336,C_337,CD4+_T_Cells
337,C_338,CD4+_T_Cells
338,C_339,CD4+_T_Cells
339,C_340,CD8+_T_Cells
340,C_341,CD4+_T_Cells
341,C_342,B_Cells
342,C_343,T_Cell_&_Tumor_Hybrid
343,C_344,T_Cell_&_Tumor_Hybrid
344,C_345,CD8+_T_Cells
345,C_346,T_Cell_&_Tumor_Hybrid
346,C_347,CD8+_T_Cells
347,C_348,CD4+_T_Cells
348,C_349,CD8+_T_Cells
349,C_350,T_Cell_&_Tumor_Hybrid
350,C_351,T_Cell_&_Tumor_Hybrid
351,C_352,T_Cell_&_Tumor_Hybrid
352,C_353,CD8+_T_Cells
353,C_354,CD4+_T_Cells
354,C_355,CD4+_T_Cells
355,C_356,T_Cell_&_Tumor_Hybrid
356,C_357,B_Cells
357,C_358,B_Cells
358,C_359,CD8+_T_Cells
359,C_360,B_Cells
360,C_361,CD8+_T_Cells
361,C_362,B_Cells
362,C_363,B_Cells
363,C_364,CD8+_T_Cells
364,C_365,CD4+_T_Cells
365,C_366,CD4+_T_Cells
366,C_367,B_Cells
367,C_368,CD4+_T_Cells
368,C_369,T_Cell_&_Tumor_Hybrid
369,C_370,B_Cells
370,C_371,B_Cells
371,C_372,T_Cell_&_Tumor_Hybrid
372,C_373,CD4+_T_Cells
373,C_374,CD4+_T_Cells
374,C_375,T_Cell_&_Tumor_Hybrid
375,C_376,CD4+_T_Cells
376,C_377,T_Cell_&_Tumor_Hybrid
377,C_378,B_Cells
378,C_379,B_Cells
379,C_380,B_Cells
380,C_381,B_Cells
381,C_382,CD4+_T_Cells
382,C_383,CD4+_T_Cells
383,C_384,CD4+_T_Cells
384,C_385,CD4+_T_Cells
385,C_386,B_Cells
386,C_387,CD4+_T_Cells
387,C_388,CD4+_T_Cells
388,C_389,CD4+_T_Cells
389,C_390,CD4+_T_Cells
390,C_391,CD4+_T_Cells
391,C_392,CD4+_T_Cells
392,C_393,CD4+_T_Cells
393,C_394,CD4+_T_Cells
394,C_395,CD4+_T_Cells
395,C_396,CD4+_T_Cells
396,C_397,CD4+_T_Cells
397,C_398,CD4+_T_Cells
398,C_399,CD4+_T_Cells
399,C_400,CD4+_T_Cells
