,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8,C_9,C_10,C_11,C_12,C_13,C_14,C_15,C_16,C_17,C_18,C_19,C_20,C_21,C_22,C_23,C_24,C_25,C_26,C_27,C_28,C_29,C_30,C_31,C_32,C_33,C_34,C_35,C_36,C_37,C_38,C_39,C_40,C_41,C_42,C_43,C_44,C_45,C_46,C_47,C_48,C_49,C_50,C_51,C_52,C_53,C_54,C_55,C_56,C_57,C_58,C_59,C_60,C_61,C_62,C_63,C_64,C_65,C_66,C_67,C_68,C_69,C_70,C_71,C_72,C_73,C_74,C_75,C_76,C_77,C_78,C_79,C_80,C_81,C_82,C_83,C_84,C_85,C_86,C_87,C_88,C_89,C_90,C_91,C_92,C_93,C_94,C_95,C_96,C_97,C_98,C_99,C_100
ANKRD30A,2.799371,5.1442823,5.28216,3.2064621,3.457954,3.1029067,4.918415,5.4729853,2.5215592,2.5117464,2.8977768,5.9301076,4.2924175,3.9830096,3.1472113,4.9107704,4.0898857,4.811887,3.1357849,3.1754823,2.8908417,3.1699145,3.4047675,5.167149,3.6133895,4.9450026,3.0903847,3.218665,4.1157403,2.6552804,5.0518446,4.283428,2.8601859,5.9922357,4.1865597,4.58578,3.1398735,5.52773,2.3198676,4.9909964,2.711762,2.7469013,3.572955,3.1459296,3.1105952,2.6254976,4.8050327,5.772224,5.1892657,3.1619356,4.096573,5.5478196,2.5954854,3.449123,3.3814561,3.3822172,3.9381826,2.9492457,2.4477556,4.187181,2.5302691,6.1776648,2.894807,2.6117427,3.0026278,6.2325916,2.4247591,4.8598948,5.3587313,3.209528,3.3095014,2.4420397,5.241404,4.4597096,3.0239012,5.7614355,2.4961152,4.0124793,3.9512348,2.7427745,3.7923958,4.164373,2.9438608,5.65782,3.0872726,5.756672,4.1439576,3.5145912,3.403861,3.1762393,2.7387338,4.8033414,4.2109632,2.93537,3.5745761,4.3331795,2.9537675,2.935806,2.4200072,2.8639035
APOBEC3B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOC1,0.4668524,0.8247236,0.8578095,0.503555,0.62373614,0.53372616,0.854606,0.81741476,0.4261821,0.4451846,0.55772656,0.9574416,0.70239735,0.6563826,0.5324816,0.7597606,0.6658156,0.7672786,0.6041245,0.58007777,0.49291238,0.51230764,0.59376264,0.8553716,0.6118413,0.81936127,0.5297446,0.53557414,0.667012,0.47107792,0.8264102,0.7759278,0.45969722,0.84925693,0.6921135,0.8384216,0.55384284,0.87821877,0.42732474,0.8389789,0.4392142,0.4669887,0.5640976,0.50284165,0.5394843,0.4545811,0.7183115,0.85368145,0.8200465,0.5160436,0.67457175,0.9200302,0.45074603,0.6049078,0.5991749,0.5584322,0.6476893,0.42859408,0.380662,0.6944769,0.43957534,0.9741495,0.5193222,0.46512315,0.49064717,0.95181286,0.40536883,0.8411971,0.8178881,0.49870372,0.55001223,0.4255975,0.8543542,0.72020847,0.5094303,1.0300089,0.4287314,0.67638814,0.68160725,0.4822092,0.6141958,0.7481799,0.45995253,0.8111976,0.5257717,0.87267935,0.65855896,0.57034546,0.6002576,0.5224793,0.4581543,0.76735866,0.6352531,0.46934,0.5004909,0.73807186,0.54671323,0.482465,0.4014357,0.53572017
AQP1,0.40045646,0.74617267,0.71669084,0.44599938,0.4966207,0.50787055,0.5903326,0.61679405,0.41407782,0.43130153,0.4779737,0.6977288,0.5499526,0.48604304,0.41593033,0.60206544,0.4875522,0.6419093,0.4351122,0.4243536,0.4719751,0.46914288,0.50601137,0.64149487,0.5186667,0.5929659,0.4326187,0.44454554,0.5456899,0.45520237,0.6058214,0.61951655,0.44077784,0.7518302,0.5855194,0.6993348,0.5271246,0.7054457,0.34203938,0.6251013,0.38436103,0.46564737,0.46883294,0.491477,0.47468716,0.45801702,0.60873765,0.6892618,0.6886267,0.45076063,0.58375037,0.6253379,0.44705176,0.54052776,0.5031482,0.5070548,0.5210652,0.44042546,0.45290917,0.572331,0.35054463,0.78134173,0.47013155,0.42540568,0.45238698,0.69572353,0.37401238,0.62142384,0.6618698,0.5110086,0.49504617,0.3981607,0.6889535,0.56011343,0.49332726,0.65011895,0.3625615,0.564927,0.50972617,0.45650542,0.5278696,0.5079671,0.4723394,0.57640135,0.44556493,0.6953743,0.509449,0.49278462,0.44651937,0.47308952,0.43441066,0.6216542,0.5470875,0.4867317,0.50014895,0.6003201,0.44897932,0.4458762,0.35080567,0.45529574
AR,1.5774881,3.0688646,3.1237633,1.9175723,2.0011623,1.7547411,2.858478,3.1875641,1.4932994,1.4472673,1.6574154,3.2412984,2.4621675,2.341603,1.8035686,2.9138236,2.4130948,2.8695045,1.8336082,1.7863948,1.6489322,1.7853644,1.9700084,2.985693,2.0388334,2.9596786,1.7758222,1.8898556,2.3180325,1.5259564,2.9272373,2.4680426,1.6352371,3.4528637,2.443198,2.680957,1.8914574,3.2293139,1.3681662,2.893786,1.5802412,1.5531228,2.1080325,1.8410273,1.7637992,1.4933956,2.850182,3.3156898,3.0657442,1.7670758,2.3091338,3.2414618,1.4854896,1.970569,1.9796953,1.9805064,2.2144637,1.6453282,1.4233253,2.4317167,1.4657853,3.574733,1.6735835,1.5257145,1.711715,3.6119134,1.4380907,2.7921243,3.1497211,1.8721356,1.9809351,1.4250785,2.995141,2.6048923,1.7920573,3.4795396,1.4806426,2.3609385,2.2128124,1.5938036,2.1400807,2.4628856,1.6329885,3.2541244,1.725183,3.3733807,2.3836815,2.0015395,2.0764246,1.8127025,1.545545,2.7782197,2.355388,1.7094704,2.0354376,2.5389814,1.716593,1.7263494,1.3775607,1.684986
AVPR1A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BACE2,0.6562275,1.0495975,1.1255085,0.7404258,0.7458449,0.6814589,1.0589914,1.2036937,0.58613086,0.5460541,0.6814025,1.1866478,0.9524946,0.83100057,0.6747367,1.1688266,0.90356404,1.0217842,0.68241686,0.7058732,0.61451185,0.73403436,0.6902545,1.0874417,0.85670394,1.1301231,0.72573906,0.6953632,0.9321478,0.6180649,1.0188012,0.92070013,0.68449104,1.2145127,0.93329483,1.0442448,0.77320063,1.0826576,0.54070985,1.1019261,0.6512493,0.6741658,0.76592195,0.7489929,0.6925351,0.62239283,1.0237675,1.1353463,1.1095603,0.7173842,0.89444506,1.194884,0.62652713,0.81327415,0.73183626,0.8068404,0.85445625,0.6796195,0.567278,0.9180403,0.61205643,1.2853138,0.65583766,0.6317698,0.6687901,1.4064147,0.57937247,1.0298615,1.2412457,0.7288913,0.85736316,0.5503404,1.0666258,0.9347513,0.7569789,1.26735,0.6211424,0.8714536,0.8703132,0.6366343,0.7847366,0.9488769,0.64749986,1.0812525,0.70995396,1.3221633,0.95037276,0.71767795,0.8002849,0.7057814,0.6522078,0.94461703,0.91028154,0.69287634,0.75062746,0.9842623,0.7029997,0.6935882,0.5655927,0.68199736
BASP1,1.4528433,2.6657407,2.7405107,1.7079964,1.8419496,1.6009386,2.5192802,2.7828088,1.3542329,1.3338083,1.6029963,2.8903558,2.1398847,2.1458285,1.6948367,2.5627851,2.1356847,2.5053666,1.6529217,1.6569885,1.5192566,1.6446452,1.803712,2.7104144,1.8821028,2.53636,1.6648667,1.7726955,2.0669253,1.4180632,2.6439571,2.286775,1.4645826,2.888428,2.10908,2.4327838,1.6532696,2.8547392,1.2140118,2.5947936,1.4429308,1.4588994,1.8331572,1.6904491,1.6387354,1.3904182,2.4747982,2.9489694,2.745505,1.6582389,2.1046696,2.8486395,1.3652977,1.8469936,1.7964956,1.8000064,2.0710404,1.537368,1.2772583,2.2415783,1.3945775,3.1874523,1.5220277,1.4009887,1.6087283,3.1706488,1.3011415,2.4311674,2.8994205,1.6744022,1.7997583,1.3299515,2.6449652,2.3411155,1.6631192,3.1517084,1.2874374,2.0860069,1.9972563,1.5205815,1.9557914,2.192387,1.4890939,2.7944682,1.6564641,3.021724,2.075213,1.8101978,1.8122711,1.677403,1.4502598,2.557208,2.098133,1.5572774,1.7664658,2.2726016,1.5427651,1.6295317,1.2661653,1.4985226
BTNL9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1QA,0.2024,0.4263382,0.42959008,0.3329187,0.37752056,0.30612648,0.34273085,0.36136782,0.23873442,0.24558066,0.3395043,0.4226088,0.35634014,0.39443147,0.319522,0.4170519,0.32267562,0.3497199,0.28123134,0.3141336,0.23474486,0.28791207,0.32785287,0.5337881,0.34539077,0.44776452,0.31667826,0.3371261,0.3102377,0.30851185,0.34203824,0.38438463,0.30047762,0.5071477,0.37415332,0.31117716,0.31507954,0.39226556,0.25666195,0.35312167,0.27663702,0.2648832,0.26983228,0.33488235,0.2936401,0.27057487,0.40231475,0.37721288,0.40500364,0.3053152,0.44467705,0.42550072,0.25206658,0.41085172,0.37638673,0.2736085,0.26856965,0.29012236,0.20916158,0.33248705,0.27741954,0.5505832,0.29323408,0.3047772,0.24195985,0.473961,0.24014597,0.38351578,0.43949708,0.30736017,0.33012846,0.24977295,0.48904046,0.3628941,0.3298771,0.5102532,0.21682979,0.37053382,0.31994042,0.25468606,0.34221292,0.38409412,0.25085124,0.4014933,0.2856596,0.53318495,0.33683327,0.36044773,0.29788426,0.29960752,0.18686274,0.3740849,0.37798637,0.30614942,0.3277552,0.4261509,0.2959659,0.29686394,0.2535802,0.29264694
C1QC,0.38153133,0.5927409,0.54498875,0.417373,0.37716863,0.33777097,0.49843177,0.62336504,0.32979992,0.2878463,0.370863,0.60330087,0.50443375,0.39635515,0.38892123,0.55778915,0.4382996,0.53851724,0.39511287,0.3946863,0.30255154,0.32327533,0.4130597,0.51519144,0.3860095,0.56799334,0.3384489,0.40249056,0.4055513,0.35496312,0.47227332,0.5114967,0.35343745,0.57921594,0.47737476,0.50787455,0.33945233,0.68641025,0.2525187,0.52608305,0.25481886,0.25901926,0.39713305,0.3934096,0.3312313,0.34712195,0.5340149,0.5717724,0.5418341,0.3523278,0.41376516,0.5288394,0.3642064,0.3957083,0.40761426,0.43027318,0.44694692,0.36859915,0.3106952,0.48521626,0.31298074,0.67443556,0.37392455,0.29679844,0.3134955,0.57735324,0.2687859,0.54900336,0.5973797,0.35139745,0.3248771,0.23974302,0.5563616,0.47292763,0.3278736,0.6788895,0.30554825,0.41523615,0.40837646,0.36165443,0.4129742,0.47329384,0.36687508,0.57628614,0.4258847,0.514582,0.4622,0.39591232,0.3784619,0.4002202,0.3550697,0.5118966,0.47125265,0.33196098,0.37530172,0.47625974,0.37353414,0.36309636,0.27618876,0.35218555
C2orf42,0.27392447,0.43547717,0.3793357,0.24590708,0.36831442,0.27833316,0.41020074,0.38973105,0.22025687,0.32987243,0.28338668,0.49801987,0.39223498,0.37018174,0.30296895,0.44228578,0.4406681,0.41048023,0.29922625,0.31752652,0.22210705,0.35875148,0.34416252,0.5414444,0.31140336,0.4092299,0.33688238,0.33375588,0.3797811,0.26974332,0.4742025,0.4011278,0.32564697,0.5140047,0.2860414,0.35688242,0.3007846,0.4166981,0.21756633,0.4117104,0.28837132,0.26486728,0.3048783,0.30260718,0.24803847,0.25346887,0.46473968,0.5042675,0.51131725,0.2426297,0.3313466,0.5017254,0.25168958,0.33577994,0.3741844,0.36610568,0.4609364,0.2683386,0.2663034,0.34315026,0.29485512,0.4790937,0.28917414,0.27922156,0.29414803,0.5343543,0.25247368,0.4140496,0.4303219,0.29961556,0.32278034,0.24297564,0.4519237,0.41610643,0.3072445,0.5066549,0.2531722,0.3762983,0.3276628,0.27159262,0.2827982,0.37867975,0.26651016,0.5594609,0.34016785,0.48202017,0.35653383,0.42677528,0.31867588,0.29692382,0.27904484,0.36358273,0.36825845,0.32504216,0.33998403,0.35297632,0.34188282,0.2971893,0.27799627,0.26123515
C6orf132,0.53544337,0.98674697,0.95176506,0.6939821,0.6624886,0.56025517,0.8898652,1.0805241,0.5244925,0.48465115,0.5439083,1.120881,0.83896196,0.7666986,0.5862943,0.87400025,0.78765374,0.85336983,0.53611624,0.62656724,0.5288303,0.62769485,0.6717231,1.0147204,0.6225854,0.9364213,0.57347155,0.6667645,0.7110561,0.51535165,0.9265583,0.77595234,0.5761213,1.1494174,0.81093323,0.8479348,0.6347236,1.1045307,0.45352703,0.9449681,0.5025486,0.5552647,0.7929079,0.59984314,0.61377215,0.5579282,1.0048754,1.1137805,1.0212728,0.6080502,0.8089051,1.1657361,0.5402478,0.7080563,0.57057947,0.59000427,0.7446257,0.5627409,0.4697708,0.71378267,0.50543636,1.2106967,0.5716481,0.48385665,0.57491446,1.1879271,0.48591563,0.923294,1.0678309,0.579555,0.67394096,0.51695466,0.9461329,0.78037757,0.62201214,1.1527739,0.509436,0.80963165,0.8060101,0.5033621,0.74376184,0.849679,0.6326471,1.1087372,0.64387393,1.1178335,0.792167,0.70561963,0.63916117,0.6619433,0.51116717,0.9507245,0.8158489,0.5597392,0.62427706,0.87262934,0.5871658,0.6042287,0.48760772,0.5784324
CAV1,0.49538508,0.78611094,0.7899171,0.5771798,0.5606712,0.5317689,0.7338039,0.8073766,0.4449664,0.46964154,0.54417175,0.87950426,0.6674998,0.549723,0.5131684,0.72314733,0.608136,0.7883861,0.5031791,0.59537125,0.46943006,0.50802636,0.5697423,0.836929,0.58432394,0.7830206,0.5061051,0.5805161,0.58673453,0.49605483,0.6866982,0.69905746,0.4753578,0.78979445,0.6118495,0.69799227,0.54670876,0.855699,0.40641144,0.6961794,0.4261037,0.44294944,0.5872863,0.56051695,0.5653969,0.49846327,0.694112,0.7815252,0.7487035,0.508138,0.60237557,0.79148805,0.4913066,0.589654,0.60005707,0.5697013,0.7060627,0.4977553,0.38212135,0.66686964,0.48631558,0.9165735,0.5074974,0.49986398,0.51292807,0.7900844,0.402704,0.8201514,0.8401713,0.58186644,0.5543181,0.43194687,0.8208191,0.67409885,0.512349,0.88579446,0.4990691,0.60833454,0.57757986,0.4937666,0.64189845,0.7032072,0.54170865,0.7712346,0.52332675,0.8327951,0.57126534,0.5967126,0.5233311,0.53739834,0.4242794,0.7840856,0.6208989,0.48229548,0.53215355,0.6739064,0.5177025,0.53247654,0.39469007,0.5063339
